,NO OF ITERATIONS,COST,BIAS HISTORY,WEIGHT_HISTORY
0,0,0.16906530089864782,-0.1274165202108963,"[ 0.35296333  0.20073899  0.35905873  0.34278839  0.17336107  0.28841958
  0.33668472  0.37548699  0.15979358 -0.00620689  0.27420497 -0.0040146
  0.26888988  0.26506798 -0.03240174  0.14166295  0.12267645  0.19728542
 -0.00315322  0.03769908  0.3754096   0.2209091   0.37853314  0.35479893
  0.20377511  0.28574324  0.31891661  0.38368324  0.20127519  0.15658979]"
1,100,0.05829387847224868,-0.4329109765048434,"[ 0.54862414  0.62489884  0.53386387  0.58781687  0.23278655 -0.1160986
  0.60158265  0.70594947  0.06507926 -0.38748387  0.85206802 -0.08173147
  0.62981576  0.70844451  0.13672136 -0.54816729 -0.07266537  0.15036787
 -0.24061899 -0.5107189   0.8409284   0.94269965  0.76477988  0.82129986
  0.74722058  0.14656773  0.66120273  0.80191704  0.67668693  0.19777716]"
2,200,0.05193220385497333,-0.3724668992024827,"[ 0.52380411  0.6215636   0.50568631  0.58451697  0.21853893 -0.30715814
  0.73778419  0.81933026  0.00191843 -0.42346989  1.0929872  -0.1615854
  0.74764328  0.86755395  0.20281075 -0.75747943 -0.01437425  0.23853729
 -0.30435818 -0.6348754   0.95652327  1.12500607  0.83952652  0.93766996
  0.84743429  0.06770364  0.83421333  0.93910936  0.8527258   0.28699689]"
3,300,0.04889079094228786,-0.3073830615392521,"[ 0.4914477   0.58582704  0.47174435  0.5663624   0.2004621  -0.43885597
  0.81996966  0.89841432 -0.04991194 -0.42106703  1.25338239 -0.21004632
  0.80854212  0.97609346  0.24159305 -0.86524125  0.00191241  0.29336087
 -0.3352745  -0.70281667  1.03096858  1.25178098  0.88039075  1.01279643
  0.8724658   0.01787207  0.92897776  1.01336359  0.95293135  0.36910187]"
4,400,0.0469918560597235,-0.24799236679908074,"[ 0.4612173   0.54132637  0.44064314  0.54622378  0.18731074 -0.53766589
  0.87554961  0.96322119 -0.09087516 -0.40913283  1.37171543 -0.24378645
  0.84151624  1.05976701  0.27229193 -0.92174749 -0.00920071  0.32927115
 -0.3506181  -0.74677172  1.08841887  1.35173732  0.90888574  1.07073162
  0.87212708 -0.01524672  0.98444217  1.0599353   1.01533324  0.44030826]"
5,500,0.045640381559227144,-0.195644569609462,"[ 0.43275134  0.49563632  0.41170131  0.52569496  0.17861099 -0.61705703
  0.91701201  1.01854704 -0.12293141 -0.39509404  1.46356435 -0.27066854
  0.85798668  1.12775839  0.29817657 -0.95030355 -0.0311169   0.35505751
 -0.35758068 -0.77953844  1.13504631  1.4340374   0.92999858  1.11819771
  0.86120418 -0.03972027  1.0201082   1.09124562  1.05596159  0.50042954]"
6,600,0.044605078930880185,-0.15046903303713943,"[ 0.40572819  0.45214312  0.3844631   0.50543396  0.17328009 -0.68367867
  0.95026566  1.06659055 -0.14784561 -0.38116658  1.53717523 -0.294085
  0.8640082   1.18481411  0.32006187 -0.96290321 -0.05592854  0.37497781
 -0.36005332 -0.80668304  1.17395855  1.50354115  0.94616347  1.15853112
  0.84562729 -0.05949753  1.04514013  1.11306856  1.08299341  0.55093214]"
7,700,0.04377446529271199,-0.11188562068392985,"[ 0.38022194  0.41231301  0.35893294  0.48595327  0.17049875 -0.74096169
  0.9782313   1.10878368 -0.16702936 -0.36809638  1.59746651 -0.31543753
  0.86319743  1.23376129  0.33862695 -0.96593875 -0.08058386  0.39119217
 -0.36019378 -0.8306903   1.20719371  1.56327632  0.95899039  1.19375127
  0.82822591 -0.07633615  1.06391571  1.1285604   1.10113781  0.59353657]"
8,800,0.043086877473099645,-0.0790325182522103,"[ 0.35634238  0.3765886   0.33517543  0.46756753  0.1696456  -0.79092813
  1.00246708  1.14611401 -0.18164375 -0.35611071  1.64761951 -0.33528386
  0.85784762  1.27641333  0.35449396 -0.96304022 -0.10396773  0.4049004
 -0.35920902 -0.85272666  1.23612146  1.61522253  0.96953879  1.22512642
  0.81045453 -0.09108111  1.07870221  1.13959808  1.11330371  0.6297462 ]"
9,900,0.04250492992281599,-0.05102859689294386,"[ 0.33412729  0.34490223  0.31319525  0.45042216  0.17023239 -0.83492686
  1.02387415  1.17928937 -0.19264761 -0.34522422  1.68982546 -0.35382668
  0.84947844  1.31400562  0.36817647 -0.95640198 -0.12571346  0.41682003
 -0.35777204 -0.87336597  1.26167084  1.6607396   0.97849279  1.25347444
  0.79307577 -0.10419809  1.09077549  1.14736665  1.12137132  0.66077822]"
10,1000,0.04200435889536257,-0.027080702430866205,"[ 0.31354686  0.31696042  0.29293701  0.4345518   0.17187284 -0.87393657
  1.043016    1.20884638 -0.20082351 -0.33536459  1.72566655 -0.37112876
  0.83913116  1.34742371  0.38007776 -0.94741739 -0.1457561   0.42740669
 -0.3562507  -0.89290074  1.28448719  1.70081487  0.9862954   1.27934229
  0.77648159 -0.11597949  1.10090436  1.15265733  1.12659563  0.68759807]"
11,1100,0.04156853673485067,-0.006512946087906421,"[ 0.29452852  0.29239071  0.27430811  0.41992734  0.17426357 -0.90870569
  1.06027203  1.23521573 -0.20680119 -0.32643     1.75632568 -0.38720859
  0.82753649  1.37732934  0.39050984 -0.93700398 -0.16415609  0.43696498
 -0.35483717 -0.91148509  1.30503329  1.73620401  0.99323822  1.30311169
  0.76085889 -0.12662868  1.10957844  1.15602711  1.12983444  0.71096845]"
12,1200,0.0411855449290524,0.011236041793285868,"[ 0.27697758  0.2708126   0.2571981   0.40648628  0.17716895 -0.9398266
  1.07591552  1.25875874 -0.2110814  -0.31831563  1.78271071 -0.40208061
  0.81521528  1.40423371  0.39971437 -0.92578184 -0.18102413  0.44570762
 -0.35362267 -0.92920396  1.32365238  1.76751135  0.99951739  1.325061
  0.74627949 -0.13629795  1.11712446  1.15788675  1.1316846   0.73149285]"
13,1300,0.04084651411808632,0.026627036316121337,"[ 0.26079059  0.25186893  0.24149102  0.39415069  0.18040795 -0.96777963
  1.09015488  1.27978748 -0.21405874 -0.31092487  1.80553267 -0.41576992
  0.80254221  1.42854242  0.40788019 -0.91417728 -0.19648707  0.45378844
 -0.35264109 -0.94610775  1.34060736  1.79523672  1.00526807  1.34540192
  0.73275047 -0.14510748  1.12376946  1.15855062  1.13256684  0.74965062]"
14,1400,0.04054463496666211,0.040036584579149,"[ 0.24586319  0.23523747  0.22707253  0.38283749  0.18384296 -0.99296149
  1.10315644  1.29857602 -0.21604221 -0.30417311  1.82535756 -0.42831528
  0.78978756  1.45058435  0.41515672 -0.90248608 -0.21067209  0.46132157
 -0.35189458 -0.96222998  1.35610546  1.81980358  1.01058561  1.3643017
  0.72024299 -0.15315564  1.12967699  1.15826599  1.13278053  0.76582444]"
